time,height
2024-07-25 00:00:00+00:00,0.513
2024-07-25 01:00:00+00:00,0.220
2024-07-25 02:00:00+00:00,-0.099
2024-07-25 03:00:00+00:00,-0.275
2024-07-25 04:00:00+00:00,-0.295
2024-07-25 05:00:00+00:00,-0.156
2024-07-25 06:00:00+00:00,0.086
2024-07-25 07:00:00+00:00,0.337
2024-07-25 08:00:00+00:00,0.577
2024-07-25 09:00:00+00:00,0.750
2024-07-25 10:00:00+00:00,0.784
2024-07-25 11:00:00+00:00,0.607
2024-07-25 12:00:00+00:00,0.246
2024-07-25 13:00:00+00:00,-0.201
2024-07-25 14:00:00+00:00,-0.598
2024-07-25 15:00:00+00:00,-0.870
2024-07-25 16:00:00+00:00,-0.989
2024-07-25 17:00:00+00:00,-0.889
2024-07-25 18:00:00+00:00,-0.618
2024-07-25 19:00:00+00:00,-0.278
2024-07-25 20:00:00+00:00,0.096
2024-07-25 21:00:00+00:00,0.452
2024-07-25 22:00:00+00:00,0.719
2024-07-25 23:00:00+00:00,0.842
2024-07-26 00:00:00+00:00,0.745
2024-07-26 01:00:00+00:00,0.519
2024-07-26 02:00:00+00:00,0.144
2024-07-26 03:00:00+00:00,-0.155
2024-07-26 04:00:00+00:00,-0.341
2024-07-26 05:00:00+00:00,-0.374
2024-07-26 06:00:00+00:00,-0.278
2024-07-26 07:00:00+00:00,-0.074
2024-07-26 08:00:00+00:00,0.184
2024-07-26 09:00:00+00:00,0.406
2024-07-26 10:00:00+00:00,0.574
2024-07-26 11:00:00+00:00,0.627
2024-07-26 12:00:00+00:00,0.505
2024-07-26 13:00:00+00:00,0.190
2024-07-26 14:00:00+00:00,-0.198
2024-07-26 15:00:00+00:00,-0.517
2024-07-26 16:00:00+00:00,-0.687
2024-07-26 17:00:00+00:00,-0.725
2024-07-26 18:00:00+00:00,-0.587
2024-07-26 19:00:00+00:00,-0.306
2024-07-26 20:00:00+00:00,0.039
2024-07-26 21:00:00+00:00,0.372
2024-07-26 22:00:00+00:00,0.680
2024-07-26 23:00:00+00:00,0.910
2024-07-27 00:00:00+00:00,0.951
2024-07-27 01:00:00+00:00,0.801
2024-07-27 02:00:00+00:00,0.484
2024-07-27 03:00:00+00:00,0.101
2024-07-27 04:00:00+00:00,-0.209
2024-07-27 05:00:00+00:00,-0.398
2024-07-27 06:00:00+00:00,-0.448
2024-07-27 07:00:00+00:00,-0.410
2024-07-27 08:00:00+00:00,-0.203
2024-07-27 09:00:00+00:00,-0.011
2024-07-27 10:00:00+00:00,0.211
2024-07-27 11:00:00+00:00,0.373
2024-07-27 12:00:00+00:00,0.425
2024-07-27 13:00:00+00:00,0.381
2024-07-27 14:00:00+00:00,0.155
2024-07-27 15:00:00+00:00,-0.100
2024-07-27 16:00:00+00:00,-0.348
2024-07-27 17:00:00+00:00,-0.465
2024-07-27 18:00:00+00:00,-0.470
2024-07-27 19:00:00+00:00,-0.309
2024-07-27 20:00:00+00:00,-0.063
2024-07-27 21:00:00+00:00,0.237
2024-07-27 22:00:00+00:00,0.537
2024-07-27 23:00:00+00:00,0.789
2024-07-28 00:00:00+00:00,0.945
2024-07-28 01:00:00+00:00,0.942
2024-07-28 02:00:00+00:00,0.728
2024-07-28 03:00:00+00:00,0.392
2024-07-28 04:00:00+00:00,-0.004
2024-07-28 05:00:00+00:00,-0.308
2024-07-28 06:00:00+00:00,-0.511
2024-07-28 07:00:00+00:00,-0.626
2024-07-28 08:00:00+00:00,-0.566
2024-07-28 09:00:00+00:00,-0.440
2024-07-28 10:00:00+00:00,-0.219
2024-07-28 11:00:00+00:00,-0.019
2024-07-28 12:00:00+00:00,0.158
2024-07-28 13:00:00+00:00,0.271
2024-07-28 14:00:00+00:00,0.272
2024-07-28 15:00:00+00:00,0.191
2024-07-28 16:00:00+00:00,0.026
2024-07-28 17:00:00+00:00,-0.167
2024-07-28 18:00:00+00:00,-0.263
2024-07-28 19:00:00+00:00,-0.252
2024-07-28 20:00:00+00:00,-0.106
2024-07-28 21:00:00+00:00,0.106
2024-07-28 22:00:00+00:00,0.387
2024-07-28 23:00:00+00:00,0.657
2024-07-29 00:00:00+00:00,0.885
2024-07-29 01:00:00+00:00,0.988
2024-07-29 02:00:00+00:00,0.917
2024-07-29 03:00:00+00:00,0.720
2024-07-29 04:00:00+00:00,0.360
2024-07-29 05:00:00+00:00,-0.040
2024-07-29 06:00:00+00:00,-0.386
2024-07-29 07:00:00+00:00,-0.621
2024-07-29 08:00:00+00:00,-0.770
2024-07-29 09:00:00+00:00,-0.742
2024-07-29 10:00:00+00:00,-0.623
2024-07-29 11:00:00+00:00,-0.443
2024-07-29 12:00:00+00:00,-0.201
2024-07-29 13:00:00+00:00,0.007
