lon,lat,constituent,amplitude,phase
-122.75,37.55,M2,0.5287,125.75
-122.75,37.55,S2,0.1496,177.75
-122.75,37.55,N2,0.1097,94.75
-122.75,37.55,K1,0.1696,157.75
-122.75,37.55,O1,0.1197,132.75
-122.5,37.55,M2,0.534,125.25
-122.5,37.55,S2,0.1511,177.25
-122.5,37.55,N2,0.1108,94.25
-122.5,37.55,K1,0.1713,157.25
-122.5,37.55,O1,0.1209,132.25
-122.25,37.55,M2,0.5393,124.75
-122.25,37.55,S2,0.1526,176.75
-122.25,37.55,N2,0.1119,93.75
-122.25,37.55,K1,0.173,156.75
-122.25,37.55,O1,0.1221,131.75
-122.75,37.8,M2,0.5247,126.5
-122.75,37.8,S2,0.1485,178.5
-122.75,37.8,N2,0.1089,95.5
-122.75,37.8,K1,0.1683,158.5
-122.75,37.8,O1,0.1188,133.5
-122.5,37.8,M2,0.53,126.0
-122.5,37.8,S2,0.15,178.0
-122.5,37.8,N2,0.11,95.0
-122.5,37.8,K1,0.17,158.0
-122.5,37.8,O1,0.12,133.0
-122.25,37.8,M2,0.5353,125.5
-122.25,37.8,S2,0.1515,177.5
-122.25,37.8,N2,0.1111,94.5
-122.25,37.8,K1,0.1717,157.5
-122.25,37.8,O1,0.1212,132.5
-122.75,38.05,M2,0.5207,127.25
-122.75,38.05,S2,0.1474,179.25
-122.75,38.05,N2,0.1081,96.25
-122.75,38.05,K1,0.167,159.25
-122.75,38.05,O1,0.1179,134.25
-122.5,38.05,M2,0.526,126.75
-122.5,38.05,S2,0.1489,178.75
-122.5,38.05,N2,0.1092,95.75
-122.5,38.05,K1,0.1687,158.75
-122.5,38.05,O1,0.1191,133.75
-122.25,38.05,M2,0.5313,126.25
-122.25,38.05,S2,0.1504,178.25
-122.25,38.05,N2,0.1103,95.25
-122.25,38.05,K1,0.1704,158.25
-122.25,38.05,O1,0.1203,133.25
